thon	pates carbonara	fruit	€	750	viande	poisson	
salade de tomate	pates bolognaise	fruit	€	600	viande		
soupe	pate au pesto	yaourt 	€€	500	lactose		
taboulé	tarte à la tomate	yaourt 	€€	600	lactose		
feuilletté	quiche 	glace	€€	800	viande	lactose	
crevette	tourte au poulet et petits pois	patisserie	€€€	750	crustace	viande	
thon	fondue de poireau	fruit	€	750	poisson		
salade de tomate	rizotto de champignon	fruit	€	600	végétarien		
soupe	crevette au curry 	yaourt 	€€	500	crustace	lactose	
taboulé	endives au jambon 	yaourt 	€€	600	porc	lactose	
feuilletté	tomates farcies 	glace	€€	800	viande		
crevette	hachis parmentier 	patisserie	€€€	750	crustace	bœuf	
thon	filet mignon aux champignons/riz 	fruit	€	750	poisson	viande	
salade de tomate	soupes 	fruit	€	600	vegetarien		
soupe	croque-monsieur/salade 	yaourt 	€€	500	viande	lactose	
taboulé	saumon grille/epinards 	yaourt 	€€	600	poisson	lactose	
feuilletté	carry saucisse/riz	glace	€€	800	viande		
crevette	saucisse/puree 	patisserie	€€€	750	crustace	viande	
thon	steak/pdt/salade tomates 	fruit	€	750	poisson	viande	
salade de tomate	merlan/lait coco/tomates 	fruit	€	600	poisson		
soupe	cabillaud en papillote avec poireaux et carotte/riz 	yaourt 	€€	500	poisson	lactose	
taboulé	cordon bleu/pates 	yaourt 	€€	600	viande	lactose	
feuilletté	poulet roti/pdt eau/salade 	glace	€€	800	viande		
crevette	curry porc au lait de coco /riz 	patisserie	€€€	750	crustace	viande	
thon	oeufs a la coque 	fruit	€	750	poisson		
salade de tomate	hamburger maison 	fruit	€	600	viande		
soupe	omelette 	yaourt 	€€	500	vegetarien	lactose	
taboulé	flamiche aux poireaux 	yaourt 	€€	600	végétarien	lactose	
feuilletté	saint-jacques/fondue de poireaux 	glace	€€	800	crustace		
crevette	cotes porc/flan courgettes 	patisserie	€€€	750	crustace	viande	
thon	tranches gigot/flageolets/haricots vert 	fruit	€	750	poisson	viande	
salade de tomate	canard aux olives/riz 	fruit	€	600	canard	viande	
soupe	canard/semoule 	yaourt 	€€	500	canard	lactose	viande
taboulé	filet dinde a la creme/pates 	yaourt 	€€	600	viande	lactose	
feuilletté	soles meunieres/ecrasee pdt 	glace	€€	800	poisson		
crevette	salade composee 	patisserie	€€€	750	crustace		
thon	moussaka 	fruit	€	750	poisson		
salade de tomate	lasagnes 	fruit	€	600	viande		
soupe	crêpes au jambon 	yaourt 	€€	500	viande	lactose	
taboulé	tartiflette 	yaourt 	€€	600	viande	lactose	
feuilletté	raclette 	glace	€€	800	viande		
crevette	pates/boulette 	patisserie	€€€	750	crustace	viande	
thon	roti de veau/petits pois carottes 	fruit	€	900	poisson	viande	
